Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
912253,ICICM57,ICICI Bank Ltd,Active,F ,48000.00,NA          ,Banks,Debentures and Bonds
912254,ICICM58,ICICI Bank Ltd,Active,F ,10000.00,NA          ,Banks,Debentures and Bonds
912320,ICMMP58,ICICI Bank Ltd,Active,F ,10000.00,INE005A11309,Banks,Debentures and Bonds
912333,ICMMP61,ICICI Bank Ltd,Active,F ,10000.00,INE005A11341,Banks,Debentures and Bonds
912356,ICMMP64,ICICI Bank Ltd,Active,F ,4000.00,INE005A11382,Banks,Debentures and Bonds
912420,ICMMP71,ICICI Bank Ltd,Active,F ,5000.00,INE005A11531,Banks,Debentures and Bonds
912433,ICMMP73,ICICI Bank Ltd,Active,F ,5400.00,INE005A11572,Banks,Debentures and Bonds
912452,ICMMP75,ICICI Bank Ltd,Active,F ,5400.00,INE005A11614,Banks,Debentures and Bonds
929001,759PUNEMB27,PUNE MUNI BOND-7.59%-20-6-27-P,Active,F ,1000000.00,INE807X08017,,Debentures and Bonds
934583,RELINFRSR3,Reliance Infrastructure Ltd,Active,F ,100000.00,INE036A07039,Electric Utilities,Debentures and Bonds
934784,LTNCDIV,L&amp;T Finance Ltd - Secured Redeemable Non-Convertible Debentures(NCDs),Active,F ,1000.00,INE523E07459,Finance (including NBFCs),Debentures and Bonds
934845,975TCFS19,Tata Capital Financial Services Ltd,Active,F ,100000.00,INE306N07BK0,Other Financial Services,Debentures and Bonds
934846,975TCFS19II,Tata Capital Financial Services Ltd,Active,F ,1000.00,INE306N07BL8,Other Financial Services,Debentures and Bonds
934847,1050TCFS19,Tata Capital Financial Services Ltd,Active,F ,1000.00,INE306N07BM6,Other Financial Services,Debentures and Bonds
934848,1050TCFS19A,Tata Capital Financial Services Ltd,Active,F ,1000.00,INE306N07BN4,Other Financial Services,Debentures and Bonds
934854,1275IIFL18,India Infoline Finance Ltd,Active,F ,1000.00,INE866I08139,Finance (including NBFCs),Debentures and Bonds
934855,1275IIFL18A,India Infoline Finance Ltd,Active,F ,1000.00,INE866I08147,Finance (including NBFCs),Debentures and Bonds
934856,0IIFL18,India Infoline Finance Ltd,Active,F ,1000.00,INE866I08154,Finance (including NBFCs),Debentures and Bonds
934867,RFL18G,Religare Finvest Ltd,Active,F ,1000.00,INE958G07841,Other Financial Services,Debentures and Bonds
934868,RFL18H,Religare Finvest Ltd,Active,F ,1000.00,INE958G07858,Other Financial Services,Debentures and Bonds
934873,0MFL18,Muthoot Finance Ltd,Active,F ,1000.00,INE414G07241,Finance (including NBFCs),Debentures and Bonds
934874,984SREIA,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QU5,Finance (including NBFCs),Debentures and Bonds
934875,992SREIB,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QV3,Finance (including NBFCs),Debentures and Bonds
934876,1030SREIC,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QX9,Finance (including NBFCs),Debentures and Bonds
934877,1025SREID,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QW1,Finance (including NBFCs),Debentures and Bonds
934878,SREI19E,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QZ4,Finance (including NBFCs),Debentures and Bonds
934879,SREI19F,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07QY7,Finance (including NBFCs),Debentures and Bonds
934883,11SREI18IV,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RH0,Finance (including NBFCs),Debentures and Bonds
934884,SREI2016V,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RK4,Finance (including NBFCs),Debentures and Bonds
934885,SREI2019VI,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RL2,Finance (including NBFCs),Debentures and Bonds
934887,980STFC18,Shriram Transport Finance Co. Ltd.,Active,F ,500.00,INE721A07FV5,Finance (including NBFCs),Debentures and Bonds
934888,940STFC18,Shriram Transport Finance Co. Ltd.,Active,F ,1000.00,INE721A07FW3,Finance (including NBFCs),Debentures and Bonds
934890,0STFC18,Shriram Transport Finance Co. Ltd.,Active,F ,500.00,INE721A07FY9,Finance (including NBFCs),Debentures and Bonds
934893,1150MFL18,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07274,Finance (including NBFCs),Debentures and Bonds
934896,12MFL18,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07308,Finance (including NBFCs),Debentures and Bonds
934900,0MFL18A,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07340,Finance (including NBFCs),Debentures and Bonds
934901,0MFL19,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G08215,Finance (including NBFCs),Debentures and Bonds
934906,1116SIFL18,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RX7,Finance (including NBFCs),Debentures and Bonds
934907,1085SIFL18,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RY5,Finance (including NBFCs),Debentures and Bonds
934908,1100SIFL18,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07RZ2,Finance (including NBFCs),Debentures and Bonds
934909,1175SIFL18,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07SA3,Finance (including NBFCs),Debentures and Bonds
934910,0SIFL18,SREI Infrastructure Finance Ltd,Active,F ,1000.00,INE872A07SB1,Finance (including NBFCs),Debentures and Bonds
934913,12IIFLIII18,India Infoline Finance Ltd,Active,F ,1000.00,INE866I07594,Finance (including NBFCs),Debentures and Bonds
934914,12IIFLIV18,India Infoline Finance Ltd,Active,F ,1000.00,INE866I07602,Finance (including NBFCs),Debentures and Bonds
934916,1075STFC18,Shriram Transport Finance Co. Ltd.,Active,F ,1000.00,INE721A07GS9,Finance (including NBFCs),Debentures and Bonds
934917,1075STF20,Shriram Transport Finance Co. Ltd.,Active,F ,1000.00,INE721A07GT7,Finance (including NBFCs),Debentures and Bonds
934919,0STFC18V,Shriram Transport Finance Co. Ltd.,Active,F ,1000.00,INE721A07GV3,Finance (including NBFCs),Debentures and Bonds
934920,0STFC20VI,Shriram Transport Finance Co. Ltd.,Active,F ,1000.00,INE721A07GW1,Finance (including NBFCs),Debentures and Bonds
934923,1075MFL18C,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07373,Finance (including NBFCs),Debentures and Bonds
934926,1125MFL18F,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07407,Finance (including NBFCs),Debentures and Bonds
934930,0MFL2018J,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G07449,Finance (including NBFCs),Debentures and Bonds
934931,0MFL2019K,MUTHOOT FINANCE Ltd,Active,F ,1000.00,INE414G08223,Finance (including NBFCs),Debentures and Bonds
934932,1152IIHF18,INDIA INFOLINE HOUSING FINANCE Ltd,Active,F ,1000.00,INE477L07040,Housing Finance ,Debentures and Bonds
934934,1075SCUF18H,Shriram-City Union Finance Ltd.,Active,F ,1000.00,INE722A07463,Finance (including NBFCs),Debentures and Bonds
934935,1075SCUF19I,Shriram-City Union Finance Ltd.,Active,F ,1000.00,INE722A07471,Finance (including NBFCs),Debentures and Bonds
934937,1075SCUF18K,Shriram-City Union Finance Ltd.,Active,F ,1000.00,INE722A07497,Finance (including NBFCs),Debentures and Bonds
934938,1075SCUF19L,Shriram-City Union Finance Ltd.,Active,F ,1000.00,INE722A07505,Finance (including NBFCs),Debentures and Bonds
934939,1075SCUF19M,Shriram-City Union Finance Ltd.,Active,F ,666.70,INE722A07513,Finance (including NBFCs),Debentures and Bonds
934947,1150MFL19H,Manappuram Finance Ltd,Active,F ,1000.00,INE522D07636,Finance (including NBFCs),Debentures and Bonds
934948,12MFL19I,Manappuram Finance Ltd,Active,F ,1000.00,INE522D07644,Finance (including NBFCs),Debentures and Bonds
934949,0MFL19J,Manappuram Finance Ltd,Active,F ,1000.00,INE522D07651,Finance (including NBFCs),Debentures and Bonds
