Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
600180,HDFCBANK6,HDFC Bank Ltd,Active,A ,2.00,INE040A01026,Banks,Equity - Institutional Series
600251,TRENT6,Trent Ltd [Lakme Ltd],Active,A ,1.00,INE849A01020,Department Stores,Equity - Institutional Series
600690,GSFC6,Gujarat State Fertilizers &amp; ChemLtd,Active,A ,2.00,INE026A01025,Fertilizers,Equity - Institutional Series
600770,TATACHEM6,Tata Chemicals Ltd,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity - Institutional Series
604000,ELPROINTL6,Elpro International Ltd,Active,XC,2.00,INE579B01021,Other Elect.Equip./ Prod.,Equity - Institutional Series
632642,JSWHL6,Jindal South West Holdings Ltd,Active,B ,10.00,INE824G01012,Holding Companies,Equity - Institutional Series
632757,VOLTAMP6,VOLTAMP TRANSFORMERS Ltd,Active,B ,10.00,INE540H01012,Heavy Electrical Equipment,Equity - Institutional Series
633228,BHARATFIN6,Bharat Financial Inclusion Ltd,Active,T ,10.00,INE180K01011,Finance (including NBFCs),Equity - Institutional Series
638772,NIYOGIN6,Niyogin Fintech Ltd,Active,XT,10.00,INE480D01010,Finance (including NBFCs),Equity - Institutional Series
639207,MANPASAND6,Manpasand Beverages Ltd,Active,B ,10.00,INE122R01018,Non-alcoholic Beverages,Equity - Institutional Series
639844,EQUITAS6,Equitas Holdings Ltd,Active,B ,10.00,INE988K01017,Holding Companies,Equity - Institutional Series
639874,UJJIVAN6,Ujjivan Financial Services Ltd,Active,B ,10.00,INE334L01012,Finance (including NBFCs),Equity - Institutional Series
