Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
533002,DWSFTS50AG,DEUTSCHE MUTUAL FUND - DWS FIXED TERM SERIES 50 - PLAN A - GROWTH OPTION,Active,F ,10.00,INF223J01051,,MF
533004,DWSFTS50BG,DEUTSCHE MUTUAL FUND - DWS FIXED TERM SERIES 50 - PLAN B - GROWTH OPTION,Active,F ,10.00,INF223J01077,,MF
533139,FFTF16BGR,Fortis Fixed Term Fund - Series 16B - Growth,Active,F ,10.00,INF251K01159,,MF
533140,FFTF16BCQ,Fortis Fixed Term Fund - Series 16B - Calendar Qrtly Dividend,Active,F ,10.00,INF251K01167,,MF
533141,FFTF16BCY,Fortis Fixed Term Fund - Series 16B - Calendar Yearly Dividend,Active,F ,10.00,INF251K01175,,MF
533142,FFTF16BDM,Fortis Fixed Term Fund - Series 16B - Dividend on Maturity,Active,F ,10.00,INF251K01183,,MF
533215,FFTF17BGR,FORTIS MUTUAL FUND,Active,F ,10.00,INF251K01282,,MF
533322,BSLFTPCLG,Birla Sun Life Fixed Term Plan Series CL- Growth,Active,F ,10.00,INF209K01FP4,,MF
533323,BSLFTPCLD,Birla Sun Life Fixed Term Plan Series CL- Dividend Payout,Active,F ,10.00,INF209K01FQ2,,MF
533350,IPRU1303,ICICI Prudential Interval Fund II Quarterly Interval Plan A Institutional Dividend Reinvestment,Active,F ,10.00,INF109K01MS6,,MF
533354,IPRU1074,ICICI Prudential Interval Fund II Quarterly Interval Plan B - Retail Dividend Reinvestment,Active,F ,10.00,INF109K01MW8,,MF
533358,IPRU1305,ICICI Prudential Interval Fund II Quarterly Interval Plan B Institutional Dividend Reinvestment,Active,F ,10.00,INF109K01NA2,,MF
533370,IPRU1307,ICICI Prudential Interval Fund II Quarterly Interval Plan D Institutional Dividend Reinvestment,Active,F ,10.00,INF109K01NM7,,MF
533374,IPRU1100,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Retail Dividend Reinvestment,Active,F ,10.00,INF109K01NQ8,,MF
533378,IPRU1118,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Retail Dividend Reinvestment,Active,F ,10.00,INF109K01NU0,,MF
533382,IPRU1311,ICICI Prudential Interval Fund II Quarterly Interval Plan F Institutional Dividend Reinvestment,Active,F ,10.00,INF109K01NY2,,MF
533383,IPRU1311P,ICICI Prudential Interval Fund II Quarterly Interval Plan F Institutional Dividend Payout,Active,F ,10.00,INF109K01NZ9,,MF
533417,KTKFMP46G,Kotak Mahindra Mutual Fund - Kotak FMP Series 46 - Growth option,Active,F ,10.00,INF174K01CS1,,MF
533418,KTKFMP46D,Kotak Mahindra Mutual Fund - Kotak FMP Series 46 - Dividend option,Active,F ,10.00,INF174K01CT9,,MF
533428,KTKFMP48G,Kotak Mahindra Mutual Fund - Kotak FMP Series 48 - Growth option,Active,F ,10.00,INF174K01CW3,,MF
533429,KTKFMP48D,Kotak Mahindra Mutual Fund - Kotak FMP Series 48 - Dividend option,Active,F ,10.00,INF174K01CX1,,MF
533447,KTKFMP50G,Kotak Mahindra Mutual Fund - Kotak FMP Series 50 - Growth option,Active,F ,10.00,INF174K01DA7,,MF
533448,KTKFMP50D,Kotak Mahindra Mutual Fund - Kotak FMP Series 50 - Dividend option,Active,F ,10.00,INF174K01DB5,,MF
533478,KTKFMP52G,Kotak Mahindra Mutual Fund - Kotak FMP Series 52 - Growth option,Active,F ,10.00,INF174K01DE9,,MF
533479,KTKFMP52D,Kotak Mahindra Mutual Fund - Kotak FMP Series 52 - Dividend option,Active,F ,10.00,INF174K01DF6,,MF
533526,KTKFMP55G,Kotak Mahindra Mutual Fund - Kotak FMP  Series 55 - Growth option,Active,F ,10.00,INF174K01DK6,,MF
533527,KTKFMP55D,Kotak Mahindra Mutual Fund - Kotak FMP  Series 55 - Dividend option,Active,F ,10.00,INF174K01DL4,,MF
533653,SFTPBRD,Sundaram Fixed Term Plan - BR - Dividend Payout,Active,F ,10.00,INF903J01JD2,,MF
533654,SFTPBRG,Sundaram Fixed Term Plan - BR - Growth,Active,F ,10.00,INF903J01JC4,,MF
533707,SMFCP35D,Capital Protection Oriented Fund - 5 Years - (Series 3) - Dividend Payout,Active,F ,10.00,INF903J01JH3,,MF
533708,SMFCP35G,Capital Protection Oriented Fund - 5 Years - (Series 3)   - Growth,Active,F ,10.00,INF903J01JG5,,MF
533749,SFTPBPD,Sundaram Fixed Term Plan - BP - Dividend Payout,Active,F ,10.00,INF903J01JU6,,MF
533750,SFTPBPG,Sundaram Fixed Term Plan - BP - Growth,Active,F ,10.00,INF903J01JT8,,MF
533780,SFTPCBD,Sundaram Fixed Term Plan - CB - Dividend Payout,Active,F ,10.00,INF903J01KA6,,MF
533781,SFTPCBG,Sundaram Fixed Term Plan - CB - Growth,Active,F ,10.00,INF903J01JZ5,,MF
533800,SFTPCCD,Sundaram Fixed Term Plan - CC - Dividend Payout,Active,F ,10.00,INF903J01KE8,,MF
533801,SFTPCCG,Sundaram Fixed Term Plan - CC - Growth,Active,F ,10.00,INF903J01KD0,,MF
533807,SMFCP45D,Sundaram Capital Protection Oriented Fund - 5 Years - (Series 4) - Dividend Payout,Active,F ,10.00,INF903J01JY8,,MF
533808,SMFCP45G,Sundaram Capital Protection Oriented Fund -  5 Years - (Series 4)   - Growth,Active,F ,10.00,INF903J01JX0,,MF
533866,SFTPCGD,Sundaram Fixed Term Plan - CG - Dividend Payout,Active,F ,10.00,INF903J01KK5,,MF
533867,SFTPCGG,Sundaram Fixed Term Plan - CG - Growth,Active,F ,10.00,INF903J01KJ7,,MF
534032,SFTPCHD,Sundaram Fixed Term Plan - CH - Dividend Payout,Active,F ,10.00,INF903J01KS8,,MF
534033,SFTPCHG,Sundaram Fixed Term Plan - CH - Growth,Active,F ,10.00,INF903J01KR0,,MF
534464,TCPF1B,Tata Capital Protection Oriented Fund Series 1 - Growth,Active,F ,10.00,INF277K01Y11,,MF
534465,TCPF1A,Tata Capital Protection Oriented Fund Series 1 - Dividend,Active,F ,10.00,INF277K01Y03,,MF
534516,HJN1120G20,HDFC Mutual Fund - HDFC FMP 1120D June 2012(1)- Growth,Active,F ,10.00,INF179K01SB2,,MF
534517,HJN1120N20,HDFC Mutual Fund - HDFC FMP 1120D June 2012(1)- Normal Dividend,Active,F ,10.00,INF179K01SC0,,MF
534518,HJN1120Q20,HDFC Mutual Fund - HDFC FMP 1120D June 2012(1)- Quarterly Dividend,Active,F ,10.00,INF179K01SD8,,MF
534672,BSLFTPFWG,Birla Sun Life Fixed Term Plan- Series FW-Growth,Active,F ,10.00,INF209KA17J4,,MF
534673,BSLFTPFWD,Birla Sun Life Fixed Term Plan- Series FW - Dividend Payout,Active,F ,10.00,INF209KA18J2,,MF
534717,BSLCPC11G,Birla Sun Life Mutual Fund-Capital Protection Oriented Fund - Series 11- Growth Option,Active,F ,10.00,INF209KA10M3,,MF
534735,AXISCPO5GP,Axis Capital Protection Oriented Fund- Series 5  Growth,Active,F ,10.00,INF846K01XN1,,MF
534736,AXISCPO5DP,Axis Capital Protection Oriented Fund- Series 5  Dividend Payout,Active,F ,10.00,INF846K01XO9,,MF
534767,IPRU1976,ICICI Prudential Capital Protection Oriented Fund- Series III- Plan B- 60 Months Plan (Cumulative),Active,F ,10.00,INF109K01G41,,MF
534768,IPRU1977,ICICI Prudential Capital Protection Oriented Fund- Series III- Plan B- 60 Months Plan (Dividend),Active,F ,10.00,INF109K01G58,,MF
534795,BSLCP14G,Birla Sun Life Mutual Fund-Capital Protection Oriented Fund - Series 14-Growth Option,Active,F ,10.00,INF209KA12O5,,MF
534821,SDF60M2G,SBI Debt Fund Series - 60 Months - 2 - Growth,Active,F ,10.00,INF200K01QC8,,MF
534822,SDF60M2D,SBI Debt Fund Series - 60 Months - 2 -Dividend payout,Active,F ,10.00,INF200K01QD6,,MF
534833,KTKFMP98G,Kotak Mahindra Mutual Fund - Kotak FMP  Series 98 - Growth option,Active,F ,10.00,INF174K01JA4,,MF
534834,KTKFMP98D,Kotak Mahindra Mutual Fund - Kotak FMP Series 98 - Dividend option,Active,F ,10.00,INF174K01JB2,,MF
534840,H1919JANDG,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1) - Direct Option - Growth Option,Active,F ,10.00,INF179K01ZE1,,MF
534841,H1919JANDD,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1) - Direct Option - Normal Dividend Option,Active,F ,10.00,INF179K01ZF8,,MF
534842,H1919JANDQ,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1) - Direct Option-  Quarterly Dividend Option,Active,F ,10.00,INF179K01ZG6,,MF
534843,H1919JANDF,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1) - Direct Option - Flexi Option,Active,F ,10.00,INF179K01ZH4,,MF
534844,H1919JANRG,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1)- Regular Option- Growth Option,Active,F ,10.00,INF179K01ZA9,,MF
534845,H1919JANRD,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1) - Regular Option- Normal Dividend Option,Active,F ,10.00,INF179K01ZB7,,MF
534846,H1919JANRQ,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1)- Regular Option - Quarterly Dividend Option,Active,F ,10.00,INF179K01ZC5,,MF
534847,H1919JANRF,HDFC Mutual Fund - HDFC FMP 1919D January 2013 (1)- Regular Option - Flexi Option,Active,F ,10.00,INF179K01ZD3,,MF
534900,RMFINAFDR1,Reliance Yearly Interval Fund- Series 1- Direct Plan- Dividend Plan - Dividend Reinvestment Option,Active,F ,10.00,INF204K01M54,,MF
534903,RMFINAFRR1,Reliance Yearly Interval Fund- Series 1- Dividend Plan - Dividend Reinvestment Option,Active,F ,10.00,INF204K01M21,,MF
534912,SDF60M3GRP,SBI Debt Fund Series - 60 Months - 3 - Regular Plan - Growth,Active,F ,10.00,INF200K01QE4,,MF
534913,SDF60M3DRP,SBI Debt Fund Series - 60 Months - 3 - Regular Plan - Dividend Payout,Active,F ,10.00,INF200K01QF1,,MF
534914,SDF60M3GDP,SBI Debt Fund Series - 60 Months - 3 - Direct Plan - Growth,Active,F ,10.00,INF200K01QP0,,MF
534915,SDF60M3DDP,SBI Debt Fund Series - 60 Months - 3 - Direct Plan - Dividend Payout,Active,F ,10.00,INF200K01QQ8,,MF
534947,IPRU1998,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan E - 60 Months Plan - R P C O,Active,F ,10.00,INF109K01K03,,MF
534953,IPRU1999,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan E - 60 Months Plan - R P D O,Active,F ,10.00,INF109K01K11,,MF
534954,IPRU8199,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan E - 60 Months Plan - D P C O,Active,F ,10.00,INF109K01K29,,MF
534955,IPRU8200,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan E - 60 Months Plan - D P D,Active,F ,10.00,INF109K01K37,,MF
534966,IDFCYRSIIG,IDFC Yearly Interval Fund- Regular Plan-Series II- Growth,Active,F ,10.00,INF194K011E2,,MF
534967,IDFCYRSIID,IDFC Yearly Series Interval Fund- Regular Plan-Series II- Dividend,Active,F ,10.00,INF194K012E0,,MF
534968,IDFCYDSIIG,IDFC Yearly Series Interval Fund- Direct Plan-Series II- Growth,Active,F ,10.00,INF194K013E8,,MF
534969,IDFCYDSIID,IDFC Yearly Interval Fund- Direct Plan -Series II- Dividend,Active,F ,10.00,INF194K014E6,,MF
535089,RMFINAFDG3,Reliance Yearly Interval Fund Series 3 - Direct Plan Growth Option,Active,F ,10.00,INF204K01S33,,MF
535090,RMFINAFDD3,Reliance Yearly Interval Fund Series 3- Direct Plan Dividend Payout Option,Active,F ,10.00,INF204K01S41,,MF
535091,RMFINAFDR3,Reliance Yearly Interval Fund Series 3 -Direct Plan Dividend Reinvestment Option,Active,F ,10.00,INF204K01S58,,MF
535092,RMFINAFRG3,Reliance Yearly Interval Fund Series 3 - Growth Option,Active,F ,10.00,INF204K01S09,,MF
535093,RMFINAFRD3,Reliance Yearly Interval Fund Series 3 - Dividend Payout Option,Active,F ,10.00,INF204K01S17,,MF
535094,RMFINAFRR3,Reliance Yearly Interval Fund Series 3 Dividend Reinvestment Option,Active,F ,10.00,INF204K01S25,,MF
535185,IPRU2014,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan G - 60 Months Plan - R P C O,Active,F ,10.00,INF109K017I4,,MF
535187,IPRU2015,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan G - 60 Months Plan - R P D O,Active,F ,10.00,INF109K018I2,,MF
535189,IPRU8215,ICICI Prudential Capital Protection Oriented Fund- Series III - Plan G - 60 Months Plan - D P C O,Active,F ,10.00,INF109K019I0,,MF
535193,RMFINAFDG4,Reliance Yearly Interval Fund  Series 4 Direct Plan Growth Option,Active,F ,10.00,INF204K01S90,,MF
535194,RMFINAFDD4,Reliance Yearly Interval Fund Series 4 Direct Plan Dividend Payout Option,Active,F ,10.00,INF204K01T08,,MF
535196,RMFINAFDR4,Reliance Yearly Interval Fund Series 4 Direct Plan Dividend Reinvestment Option,Active,F ,10.00,INF204K01T16,,MF
535200,RMFINAFRG4,Reliance Yearly Interval Fund Series 4 Growth Option,Active,F ,10.00,INF204K01S66,,MF
